央视频道,#genre#
CCTV2,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV13,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV15,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
卫视频道,#genre#
安徽卫视高清,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=008&Provider_id=&Pcontent_id=index.m3u8
重庆卫视高清,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
江苏卫视高清,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
东方卫视高清,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
四川卫视高清,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=000&Provider_id=&Pcontent_id=index.m3u8
深圳卫视高清,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8
天津卫视高清,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
山东卫视高清,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8
黑龙江卫视高清,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=006&Provider_id=&Pcontent_id=index.m3u8
云南卫视高清,http://cdn.chances.com.cn/channels/yntv/ynws/m3u8:sd/#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
北京卫视高清,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=003&Provider_id=&Pcontent_id=index.m3u8
湖北卫视高清,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8
广东卫视高清,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
辽宁卫视高清,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
